Customer_ID,Age,Gender,Region,Policy_Type,Policy_Duration_Years,Annual_Premium,Vehicle_Age,Incident_Type,Claim_Amount,Number_of_Previous_Claims,Claim_Approved
CUST00031,66,Male,West,Premium,7,10180,7,Natural Disaster,7090,2,1
CUST00032,44,Male,East,Basic,13,35284,7,Natural Disaster,53902,3,1
CUST00033,59,Female,East,Premium,13,46375,0,Natural Disaster,44752,0,1
CUST00034,45,Male,North,Basic,1,16646,4,Fire,20643,1,1
CUST00035,33,Female,West,Basic,1,24029,1,Theft,40647,2,0
CUST00036,32,Female,West,Basic,14,25158,9,Accident,66082,1,1
CUST00037,64,Male,East,Gold,13,19342,11,Accident,73974,1,1
CUST00038,68,Male,East,Gold,10,42781,4,Fire,19474,4,1
CUST00039,61,Male,North,Basic,3,5084,9,Theft,38402,3,0
CUST00040,69,Male,South,Premium,14,6935,11,Natural Disaster,17504,2,0
CUST00041,20,Female,South,Premium,8,35466,8,Fire,7768,4,0
CUST00042,54,Female,East,Gold,1,47376,3,Fire,75043,2,0
CUST00043,68,Female,South,Basic,10,14262,7,Natural Disaster,1620,3,0
CUST00044,24,Male,South,Premium,13,16604,0,Fire,21447,4,0
CUST00045,38,Female,South,Basic,4,47481,7,Fire,20118,2,1
CUST00046,26,Male,South,Basic,9,28133,5,Natural Disaster,63051,4,1
CUST00047,56,Male,East,Gold,14,33667,7,Theft,47599,1,1
CUST00048,35,Male,South,Premium,4,40241,5,Accident,67494,0,1
CUST00049,21,Male,South,Basic,10,38503,10,Accident,11200,2,0
CUST00050,42,Male,North,Basic,8,7838,2,Natural Disaster,59704,3,1
CUST00051,31,Female,East,Premium,7,40330,14,Natural Disaster,54487,2,0
CUST00052,67,Female,West,Premium,3,18440,11,Theft,47465,0,1
CUST00053,26,Male,West,Basic,7,41674,14,Fire,30840,2,1
CUST00054,43,Female,North,Gold,7,39040,10,Theft,19435,2,1
CUST00055,19,Male,North,Basic,10,42604,7,Fire,48897,2,0
CUST00056,37,Male,East,Basic,3,39630,4,Fire,64876,3,0
CUST00057,45,Male,West,Gold,2,41994,11,Theft,50412,0,0
CUST00058,64,Female,South,Basic,9,31339,9,Natural Disaster,73282,0,0
CUST00059,24,Male,North,Basic,1,35384,4,Natural Disaster,29484,3,1
CUST00060,61,Male,West,Premium,14,46782,14,Theft,39658,2,1
CUST00061,25,Female,East,Gold,7,37643,11,Fire,7053,2,0
CUST00062,64,Female,South,Basic,4,21926,6,Fire,56251,0,0
CUST00063,52,Female,East,Gold,2,43977,5,Fire,41645,2,1
CUST00064,31,Male,North,Premium,2,28652,8,Fire,3545,1,1
CUST00065,34,Male,West,Basic,8,15270,6,Theft,78213,2,0
CUST00066,53,Female,West,Premium,7,22268,2,Accident,9560,2,1
CUST00067,67,Male,West,Basic,12,41417,10,Natural Disaster,63375,4,0
CUST00068,57,Female,West,Basic,7,25317,10,Natural Disaster,4662,0,0
CUST00069,21,Female,South,Premium,5,41434,11,Accident,79591,0,1
CUST00070,19,Male,South,Gold,14,20448,4,Fire,40497,1,1
CUST00071,23,Male,East,Basic,10,14913,8,Accident,53606,1,0
CUST00072,59,Female,South,Basic,8,13566,10,Accident,63112,1,0
CUST00073,21,Female,North,Basic,14,37444,12,Accident,79334,0,0
CUST00074,46,Female,North,Basic,2,20605,14,Natural Disaster,71344,4,0
CUST00075,35,Female,West,Basic,2,5557,9,Natural Disaster,9048,4,0
CUST00076,43,Male,North,Basic,5,47240,13,Accident,79643,3,1
CUST00077,61,Female,East,Premium,1,49383,1,Accident,7520,0,0
CUST00078,51,Female,South,Basic,6,11040,0,Accident,17928,3,1
CUST00079,27,Female,South,Basic,4,38896,10,Fire,56368,2,1
CUST00080,53,Male,South,Gold,6,26804,7,Fire,24501,1,1
CUST00081,31,Male,North,Gold,7,14292,7,Fire,54751,3,1
CUST00082,48,Female,South,Basic,13,31110,1,Natural Disaster,37191,3,1
CUST00083,65,Male,West,Basic,3,10349,13,Theft,30476,0,0
CUST00084,32,Male,West,Premium,11,35374,12,Accident,27948,1,1
CUST00085,25,Male,West,Basic,13,24009,7,Accident,5483,1,0
CUST00086,31,Female,North,Basic,8,47591,4,Theft,57123,4,0
CUST00087,40,Female,South,Premium,7,5057,1,Accident,40887,3,1
CUST00088,57,Male,North,Basic,13,13503,6,Fire,77254,4,1
CUST00089,38,Female,South,Basic,1,33293,6,Fire,62055,3,1
CUST00090,33,Female,East,Basic,6,47961,2,Theft,32257,0,1
CUST00091,62,Male,East,Basic,7,24121,13,Fire,19327,0,1
CUST00092,35,Male,North,Basic,14,10493,0,Theft,72304,2,1
CUST00093,64,Female,West,Gold,11,41645,10,Fire,25866,3,1
CUST00094,41,Male,North,Basic,4,7282,3,Accident,45649,3,1
CUST00095,43,Female,West,Basic,14,28170,1,Natural Disaster,10166,1,1
CUST00096,42,Female,South,Basic,2,49143,3,Fire,10042,1,0
CUST00097,62,Male,West,Gold,10,6431,7,Theft,12969,4,1
CUST00098,58,Female,West,Premium,9,39543,1,Natural Disaster,52880,2,1
CUST00099,46,Female,South,Basic,7,25591,0,Accident,73739,0,1
CUST00100,32,Male,East,Gold,1,16351,10,Natural Disaster,64588,3,1
CUST00101,62,Male,South,Basic,8,37483,13,Theft,5641,4,0
CUST00102,18,Male,North,Basic,3,36195,14,Accident,29536,2,1
CUST00103,42,Female,North,Basic,4,42153,14,Accident,15546,1,1
CUST00104,24,Male,North,Basic,12,27735,2,Fire,15102,2,0
CUST00105,26,Male,North,Basic,5,20203,9,Natural Disaster,10029,4,1
CUST00106,41,Male,North,Premium,1,8974,6,Fire,48545,0,1
CUST00107,18,Male,East,Basic,6,43673,12,Accident,12322,1,1
CUST00108,61,Female,East,Premium,10,42233,11,Fire,13654,1,1
CUST00109,25,Female,West,Basic,6,24686,5,Fire,57663,0,1
CUST00110,41,Male,North,Basic,2,44713,5,Theft,76501,1,0
CUST00111,28,Female,South,Basic,11,48826,6,Fire,60687,4,0
CUST00112,68,Male,North,Gold,10,17636,7,Accident,8508,1,1
CUST00113,34,Male,East,Basic,6,40070,2,Fire,48859,3,0
CUST00114,25,Female,North,Premium,8,34123,2,Accident,23132,2,0
CUST00115,52,Female,East,Basic,6,36812,9,Accident,66800,4,0
CUST00116,52,Male,West,Basic,4,33760,12,Theft,17025,0,0
CUST00117,50,Male,West,Basic,4,9966,7,Accident,78024,4,1
CUST00118,22,Female,West,Basic,9,23426,11,Accident,66924,3,1
CUST00119,59,Male,East,Basic,6,19162,12,Theft,68607,1,0
CUST00120,56,Female,North,Basic,8,21058,13,Accident,25970,1,0
CUST00121,58,Male,North,Premium,8,46482,12,Theft,48736,4,1
CUST00122,45,Male,South,Basic,7,48667,6,Natural Disaster,8840,1,1
CUST00123,24,Female,East,Premium,3,7998,9,Natural Disaster,30654,1,0
CUST00124,26,Female,South,Basic,10,5909,4,Natural Disaster,78385,3,1
CUST00125,25,Female,West,Premium,1,39648,3,Accident,53408,0,0
CUST00126,29,Female,North,Premium,5,17497,5,Fire,76967,2,1
CUST00127,51,Female,East,Basic,13,23944,8,Theft,23442,4,0
CUST00128,50,Female,South,Basic,10,12527,5,Natural Disaster,66243,0,1
CUST00129,65,Female,South,Premium,10,43464,7,Theft,7630,2,1
CUST00130,40,Male,South,Gold,2,8072,0,Natural Disaster,48736,0,1
CUST00131,41,Male,North,Basic,12,17018,11,Natural Disaster,14008,4,1
CUST00132,54,Male,North,Basic,10,34652,13,Accident,48487,3,1
CUST00133,52,Female,North,Gold,13,9476,5,Theft,69395,3,0
CUST00134,61,Female,East,Basic,2,48835,13,Accident,3393,3,1
CUST00135,57,Female,North,Premium,14,35232,13,Theft,56971,0,1
CUST00136,39,Male,East,Basic,7,32482,1,Theft,69657,4,1
CUST00137,44,Female,South,Basic,11,42257,2,Fire,75652,1,0
CUST00138,52,Female,South,Premium,13,25875,5,Natural Disaster,71507,1,1
CUST00139,18,Male,West,Premium,3,21219,1,Accident,30644,3,0
CUST00140,52,Female,North,Basic,13,35448,3,Fire,37122,0,0
CUST00141,54,Male,South,Basic,8,19367,5,Theft,4397,1,0
CUST00142,64,Male,North,Premium,9,30120,4,Natural Disaster,55569,0,1
CUST00143,31,Female,East,Premium,14,11855,5,Accident,78948,4,0
CUST00144,20,Female,South,Basic,13,8097,14,Fire,53133,3,1
CUST00145,18,Female,North,Premium,8,49585,5,Theft,49519,2,0
CUST00146,22,Male,South,Premium,6,24889,7,Fire,72057,3,1
CUST00147,43,Male,South,Premium,5,6084,8,Theft,30151,2,0
CUST00148,31,Male,North,Premium,3,38320,4,Theft,4472,1,1
CUST00149,56,Female,South,Basic,3,26944,5,Natural Disaster,52769,2,1
CUST00150,44,Female,South,Premium,7,38921,5,Accident,6481,0,1
CUST00151,26,Female,South,Premium,13,26857,5,Natural Disaster,39977,2,1
CUST00152,32,Female,South,Basic,5,23070,1,Accident,20883,1,0
CUST00153,32,Male,East,Basic,12,29475,3,Accident,25265,1,0
CUST00154,43,Male,South,Basic,14,27219,0,Theft,53744,3,0
CUST00155,59,Male,West,Premium,6,46457,13,Fire,24656,1,1
CUST00156,30,Male,South,Basic,14,36489,11,Accident,10304,0,1
CUST00157,68,Female,North,Premium,6,28178,0,Accident,46911,2,1
CUST00158,49,Female,West,Gold,9,18483,0,Accident,44013,4,1
CUST00159,56,Female,East,Premium,1,49927,6,Accident,78981,1,0
CUST00160,66,Male,West,Gold,8,38573,0,Theft,41314,2,1
CUST00161,69,Male,West,Gold,10,38688,5,Natural Disaster,23857,3,0
CUST00162,49,Female,West,Basic,13,36529,1,Fire,29894,4,0
CUST00163,21,Female,North,Premium,13,39211,5,Theft,39570,3,0
CUST00164,47,Male,North,Basic,5,44816,5,Theft,67080,0,0
CUST00165,54,Female,North,Gold,13,38978,11,Theft,40420,3,1
CUST00166,40,Male,East,Basic,6,34677,10,Accident,57210,2,1
CUST00167,56,Male,North,Gold,6,21004,2,Fire,28734,4,0
CUST00168,62,Male,North,Premium,1,15272,14,Theft,37219,3,0
CUST00169,32,Female,West,Premium,3,11212,7,Theft,67972,3,1
CUST00170,60,Female,North,Basic,12,26071,10,Theft,56813,0,1
CUST00171,46,Male,South,Basic,6,48108,3,Accident,12007,2,0
CUST00172,53,Female,North,Premium,14,14700,12,Accident,29341,3,1
CUST00173,30,Male,East,Basic,14,34980,6,Theft,50411,2,0
CUST00174,49,Male,East,Gold,11,22297,3,Accident,74087,1,1
CUST00175,24,Male,South,Basic,11,46349,0,Fire,79649,0,0
CUST00176,68,Male,East,Premium,9,33625,5,Accident,49431,0,0
CUST00177,39,Female,East,Basic,6,33831,4,Theft,5841,0,0
CUST00178,45,Male,West,Premium,12,34367,8,Fire,41729,2,1
CUST00179,19,Male,South,Premium,13,40338,14,Accident,77629,3,0
CUST00180,59,Female,West,Basic,6,25121,13,Theft,74082,3,0
CUST00181,62,Male,West,Basic,1,40547,13,Natural Disaster,58804,2,0
CUST00182,23,Male,North,Basic,9,29914,14,Natural Disaster,53006,2,1
CUST00183,45,Female,South,Premium,4,49396,8,Fire,22584,1,1
CUST00184,45,Female,North,Premium,2,22178,11,Fire,61591,4,1
CUST00185,61,Female,North,Premium,1,6722,10,Fire,20361,4,1
CUST00186,61,Male,West,Premium,3,18885,12,Accident,48871,0,0
CUST00187,37,Female,East,Basic,3,5102,7,Fire,15101,3,1
CUST00188,47,Female,South,Basic,5,32435,14,Accident,43774,0,0
CUST00189,28,Male,East,Basic,1,18262,6,Theft,43701,3,1
CUST00190,45,Male,West,Basic,7,12453,13,Accident,14261,3,1
CUST00191,42,Male,West,Gold,13,47407,1,Accident,14209,1,0
CUST00192,56,Male,West,Gold,1,17224,13,Theft,29647,2,0
CUST00193,50,Male,West,Basic,4,11172,7,Natural Disaster,9221,2,0
CUST00194,18,Female,West,Premium,6,16252,2,Accident,48833,2,0
CUST00195,44,Female,West,Gold,1,22918,5,Accident,26557,4,0
CUST00196,69,Female,East,Basic,7,12197,9,Theft,8526,2,0
CUST00197,30,Male,North,Basic,10,36591,6,Fire,2251,4,0
CUST00198,58,Male,East,Basic,7,18677,11,Theft,33588,0,0
CUST00199,20,Male,South,Premium,3,16039,5,Natural Disaster,55492,4,1
CUST00200,56,Female,East,Gold,4,32785,4,Fire,7889,3,0
CUST00201,23,Female,West,Premium,6,9570,3,Natural Disaster,30146,1,0
CUST00202,25,Male,East,Basic,14,11706,1,Accident,53318,1,1
CUST00203,44,Female,North,Basic,11,16655,8,Natural Disaster,74588,3,1
CUST00204,26,Male,South,Premium,7,38202,13,Natural Disaster,38638,0,0
CUST00205,54,Female,East,Gold,14,14449,6,Theft,2147,1,1
CUST00206,50,Female,North,Premium,13,29630,6,Fire,3847,3,0
CUST00207,68,Female,East,Premium,4,14122,3,Accident,61335,1,1
CUST00208,59,Male,South,Basic,10,15991,13,Accident,34388,4,1
CUST00209,61,Female,East,Gold,11,29887,4,Accident,65347,1,1
CUST00210,41,Female,West,Premium,9,18859,5,Fire,40983,4,1
CUST00211,32,Male,East,Basic,9,28640,11,Fire,44820,4,0
CUST00212,49,Female,North,Premium,9,30532,10,Natural Disaster,27076,1,0
CUST00213,49,Male,East,Basic,12,44229,11,Natural Disaster,31752,1,1
CUST00214,41,Male,North,Basic,10,43764,1,Fire,61533,4,1
CUST00215,58,Male,South,Basic,6,42620,3,Accident,17003,1,1
CUST00216,69,Male,East,Basic,2,7512,14,Fire,73954,0,0
CUST00217,66,Male,South,Basic,2,20446,12,Theft,18710,2,1
CUST00218,66,Female,South,Basic,11,26912,3,Fire,66657,2,1
CUST00219,69,Male,East,Premium,4,39031,11,Fire,38081,3,1
CUST00220,29,Male,North,Basic,9,40515,12,Accident,51228,2,0
CUST00221,56,Male,South,Basic,3,20416,3,Natural Disaster,21655,0,1
CUST00222,19,Male,South,Basic,6,12280,6,Theft,9483,2,1
CUST00223,20,Female,East,Premium,2,15974,12,Theft,41094,2,0
CUST00224,66,Male,East,Basic,1,48746,6,Theft,42450,0,0
CUST00225,54,Female,East,Basic,12,48775,6,Fire,26209,4,0
CUST00226,66,Male,East,Gold,5,41531,6,Accident,47316,2,1
CUST00227,34,Female,East,Premium,8,17227,1,Fire,19556,3,1
CUST00228,66,Male,West,Gold,10,18031,4,Natural Disaster,28962,2,0
CUST00229,19,Male,East,Basic,10,48283,9,Accident,16638,2,1
CUST00230,19,Female,North,Basic,2,38000,1,Theft,39754,0,1
CUST00231,45,Male,South,Premium,10,7028,4,Fire,73617,0,1
CUST00232,40,Female,North,Basic,9,35433,11,Accident,55376,3,0
CUST00233,54,Male,North,Basic,12,23313,5,Fire,14353,1,0
CUST00234,49,Female,West,Basic,8,14650,2,Accident,72296,0,0
CUST00235,50,Male,East,Gold,3,31224,5,Theft,14771,1,1
CUST00236,18,Male,South,Basic,1,35364,14,Natural Disaster,67026,3,0
CUST00237,36,Female,North,Gold,4,23361,4,Natural Disaster,5263,2,1
CUST00238,19,Male,East,Gold,8,7413,3,Fire,8769,2,1
CUST00239,61,Male,East,Basic,3,45794,9,Theft,26334,1,0
CUST00240,43,Male,West,Premium,10,36070,8,Fire,33749,3,1
CUST00241,49,Male,West,Premium,12,43186,10,Fire,12635,3,1
CUST00242,23,Male,West,Gold,2,27409,13,Accident,66110,0,0
CUST00243,49,Male,South,Basic,7,34854,7,Accident,2904,1,1
CUST00244,21,Female,North,Premium,4,36206,11,Accident,71805,0,0
CUST00245,28,Female,West,Basic,6,34655,6,Theft,31968,1,0
CUST00246,34,Female,West,Gold,5,14952,10,Theft,2650,0,0
CUST00247,55,Male,West,Basic,2,41365,14,Fire,13467,0,0
CUST00248,41,Female,North,Basic,10,22762,0,Accident,47900,3,0
CUST00249,22,Male,North,Premium,2,5620,8,Theft,36518,3,1
CUST00250,69,Male,West,Gold,14,38697,8,Fire,69415,2,1
CUST00251,51,Male,West,Premium,9,20455,5,Theft,5357,2,0
CUST00252,23,Male,East,Basic,11,27210,6,Fire,11865,3,1
CUST00253,39,Female,West,Basic,10,5974,12,Natural Disaster,69368,3,0
CUST00254,28,Male,South,Gold,2,17679,2,Accident,62039,0,1
CUST00255,65,Female,South,Premium,8,32429,4,Natural Disaster,72294,2,1
CUST00256,33,Male,West,Gold,8,23073,6,Fire,3921,3,1
CUST00257,50,Female,North,Basic,1,9671,0,Fire,5428,1,1
CUST00258,26,Female,East,Basic,1,35365,11,Accident,74647,1,0
CUST00259,23,Female,North,Premium,13,13917,0,Accident,53557,2,0
CUST00260,33,Female,West,Gold,4,46121,4,Fire,13366,1,1
CUST00261,46,Female,South,Basic,2,12784,8,Theft,47923,0,0
CUST00262,20,Female,East,Gold,12,38426,6,Accident,31564,2,1
CUST00263,37,Male,North,Premium,1,40665,0,Fire,76511,3,0
CUST00264,53,Female,North,Basic,9,17291,12,Accident,3642,1,0
CUST00265,36,Male,West,Basic,13,23926,12,Accident,14849,0,1
CUST00266,43,Female,East,Basic,3,31154,14,Natural Disaster,20344,3,1
CUST00267,20,Male,South,Premium,14,30650,11,Natural Disaster,22214,4,0
CUST00268,36,Female,West,Basic,14,8205,4,Theft,39226,0,0
CUST00269,37,Female,East,Basic,14,41812,14,Accident,23522,1,0
CUST00270,49,Male,North,Gold,1,35294,7,Fire,7680,0,0
CUST00271,24,Female,West,Basic,2,41201,7,Fire,13507,4,0
CUST00272,69,Female,North,Basic,8,44479,11,Accident,75955,4,0
CUST00273,58,Female,North,Basic,5,12384,1,Accident,50007,0,0
CUST00274,50,Male,West,Premium,11,22261,6,Theft,50353,3,1
CUST00275,57,Female,West,Premium,7,8059,9,Theft,69696,3,1
CUST00276,56,Male,West,Basic,6,36734,4,Theft,45233,4,0
CUST00277,35,Female,West,Premium,13,28391,8,Fire,51865,2,1
CUST00278,57,Female,West,Premium,1,20915,2,Natural Disaster,8872,2,1
CUST00279,18,Male,North,Basic,6,45281,0,Theft,8839,3,0
CUST00280,28,Female,South,Basic,11,39442,12,Fire,16652,2,1
CUST00281,45,Female,South,Basic,7,47568,3,Theft,7859,3,0
CUST00282,42,Male,West,Basic,4,30793,6,Fire,34520,1,0
CUST00283,67,Female,North,Premium,8,36989,0,Accident,79840,3,1
CUST00284,40,Male,South,Premium,8,30305,1,Fire,50266,1,1
CUST00285,48,Male,South,Basic,7,21767,13,Accident,70516,4,0
CUST00286,47,Male,South,Basic,11,43652,4,Fire,40093,2,1
CUST00287,59,Female,North,Basic,2,23196,8,Natural Disaster,52970,4,1
CUST00288,52,Male,West,Premium,6,23708,13,Fire,50620,0,0
CUST00289,24,Male,West,Basic,6,18383,0,Accident,1425,0,0
CUST00290,33,Female,West,Premium,12,10248,11,Natural Disaster,74677,4,1
CUST00291,43,Male,East,Basic,12,41197,3,Fire,51727,3,0
CUST00292,65,Female,East,Premium,7,31440,11,Fire,76593,3,0
CUST00293,69,Female,East,Gold,6,26230,13,Theft,50985,2,1
CUST00294,66,Female,North,Basic,2,34654,2,Natural Disaster,48084,4,0
CUST00295,19,Female,South,Basic,8,21611,13,Accident,70642,0,1
CUST00296,18,Male,South,Gold,4,27457,4,Natural Disaster,2408,4,1
CUST00297,65,Male,North,Basic,9,15256,4,Accident,56337,4,0
CUST00298,29,Male,North,Premium,8,45971,9,Theft,40612,2,0
CUST00299,22,Male,West,Basic,14,45533,1,Theft,40163,3,1
CUST00300,54,Male,West,Premium,3,39290,4,Accident,16843,0,0
CUST00301,49,Female,East,Basic,3,38459,8,Accident,50364,2,1
CUST00302,26,Male,East,Gold,8,33281,4,Accident,29477,0,1
CUST00303,58,Male,North,Premium,2,6739,14,Theft,62082,0,1
CUST00304,52,Male,East,Premium,9,6525,10,Natural Disaster,28330,3,1
CUST00305,36,Female,South,Premium,4,21453,9,Theft,38569,3,1
CUST00306,65,Female,North,Premium,6,11251,1,Fire,49114,2,0
CUST00307,33,Male,North,Basic,3,48208,6,Theft,68294,1,1
CUST00308,20,Female,South,Gold,3,24507,14,Fire,65106,2,1
CUST00309,37,Male,West,Gold,3,18860,5,Fire,39548,2,0
CUST00310,41,Male,West,Basic,11,26108,6,Theft,63598,1,1
CUST00311,50,Female,South,Gold,13,32906,7,Theft,12260,0,0
CUST00312,41,Female,South,Premium,10,12649,9,Theft,33350,4,1
CUST00313,69,Male,East,Premium,12,39055,4,Natural Disaster,42741,1,1
CUST00314,28,Male,North,Basic,14,18193,1,Theft,46181,4,0
CUST00315,66,Female,East,Basic,14,36022,6,Accident,1840,0,1
CUST00316,25,Male,South,Basic,14,36656,6,Theft,63422,1,1
CUST00317,53,Female,East,Basic,12,46535,7,Fire,18725,3,1
CUST00318,55,Male,South,Premium,2,20913,6,Natural Disaster,13299,2,1
CUST00319,57,Female,East,Basic,8,20629,9,Natural Disaster,51652,1,0
CUST00320,37,Male,East,Basic,9,35692,6,Fire,72095,1,1
CUST00321,52,Male,West,Gold,8,9954,13,Natural Disaster,33597,0,0
CUST00322,65,Female,South,Basic,10,38512,12,Natural Disaster,9707,3,0
CUST00323,42,Male,East,Basic,3,15719,8,Accident,49943,1,1
CUST00324,52,Male,North,Basic,7,32649,7,Accident,64803,3,0
CUST00325,42,Female,East,Basic,11,17402,14,Natural Disaster,76276,4,0
CUST00326,46,Male,East,Premium,10,42344,1,Theft,4155,1,0
CUST00327,35,Male,North,Premium,2,14216,1,Natural Disaster,24572,3,1
CUST00328,63,Male,South,Premium,4,36050,6,Accident,60694,2,1
CUST00329,35,Female,West,Basic,12,35272,9,Natural Disaster,67514,0,1
CUST00330,19,Female,West,Premium,13,10050,14,Theft,77033,3,1
CUST00331,52,Female,West,Basic,14,7438,10,Theft,45843,0,1
CUST00332,33,Male,North,Basic,13,48150,12,Accident,36357,1,0
CUST00333,58,Male,East,Basic,6,46587,14,Natural Disaster,24167,1,1
CUST00334,53,Male,South,Basic,11,21760,9,Accident,72478,4,0
CUST00335,50,Male,East,Basic,5,17078,2,Fire,19983,0,1
CUST00336,21,Female,West,Basic,13,21473,0,Accident,36276,2,0
CUST00337,50,Male,East,Gold,9,48815,8,Accident,46279,2,0
CUST00338,31,Male,North,Basic,10,14257,13,Accident,60483,3,1
CUST00339,38,Male,North,Basic,4,27450,14,Natural Disaster,72451,2,0
CUST00340,65,Female,South,Basic,5,30634,13,Fire,3045,0,1
CUST00341,37,Male,South,Premium,4,33648,13,Natural Disaster,43344,1,0
CUST00342,25,Male,West,Basic,14,32176,2,Theft,10564,0,0
CUST00343,24,Male,South,Gold,13,15296,0,Fire,12105,0,1
CUST00344,20,Male,East,Gold,14,26959,5,Accident,57754,1,0
CUST00345,34,Male,North,Basic,8,19570,3,Accident,21056,0,1
CUST00346,50,Female,North,Basic,13,40423,13,Accident,64565,2,1
CUST00347,65,Male,North,Basic,8,19727,0,Natural Disaster,48689,3,1
CUST00348,29,Male,South,Premium,3,22899,3,Theft,33135,3,1
CUST00349,68,Male,North,Basic,1,40785,7,Fire,33812,0,0
CUST00350,39,Male,North,Basic,6,45111,10,Fire,71047,1,1
CUST00351,39,Male,North,Basic,2,17339,6,Natural Disaster,23772,4,0
CUST00352,63,Male,West,Premium,2,39341,14,Theft,8775,0,1
CUST00353,47,Male,West,Basic,3,10597,11,Fire,55523,0,0
CUST00354,55,Male,South,Basic,8,32112,0,Natural Disaster,11707,4,1
CUST00355,55,Male,North,Premium,3,41694,9,Theft,14372,3,1
CUST00356,62,Male,South,Premium,7,15244,11,Theft,62526,3,0
CUST00357,68,Female,North,Gold,10,8796,8,Fire,66106,4,0
CUST00358,25,Female,North,Basic,14,46591,5,Fire,54475,1,0
CUST00359,44,Female,North,Premium,10,15053,1,Theft,58201,0,1
CUST00360,44,Female,South,Premium,9,33528,2,Fire,28957,2,1
CUST00361,51,Male,South,Basic,13,23648,6,Natural Disaster,57243,3,1
CUST00362,38,Female,North,Premium,8,23431,2,Theft,74752,3,1
CUST00363,47,Female,East,Basic,1,5535,12,Fire,76542,3,1
CUST00364,50,Male,South,Gold,7,45652,2,Fire,34993,1,1
CUST00365,45,Female,West,Basic,7,49493,4,Natural Disaster,35016,4,0
CUST00366,64,Female,South,Premium,8,11881,2,Fire,26354,1,0
CUST00367,50,Male,North,Basic,10,24481,2,Fire,49637,3,0
CUST00368,22,Male,East,Gold,5,47235,10,Fire,5848,0,1
CUST00369,65,Male,North,Basic,10,40841,4,Accident,43673,3,0
CUST00370,36,Female,West,Gold,9,6025,13,Natural Disaster,12783,0,1
CUST00371,21,Female,South,Gold,9,35869,4,Natural Disaster,65694,0,1
CUST00372,52,Male,South,Basic,8,39819,11,Accident,62865,3,0
CUST00373,66,Male,North,Gold,6,35192,8,Natural Disaster,54907,3,0
CUST00374,34,Female,North,Gold,6,8621,0,Fire,51669,0,0
CUST00375,61,Male,West,Basic,1,35566,13,Fire,11924,1,1
CUST00376,45,Female,East,Basic,13,25947,0,Fire,71178,1,0
CUST00377,47,Male,West,Premium,6,19405,10,Natural Disaster,71732,1,1
CUST00378,46,Male,East,Basic,14,9403,13,Natural Disaster,77691,2,0
CUST00379,63,Female,South,Basic,4,41091,8,Theft,78591,0,1
CUST00380,23,Male,East,Basic,4,27525,4,Accident,21152,2,1
CUST00381,52,Male,East,Basic,14,10017,3,Natural Disaster,9072,2,1
CUST00382,58,Male,South,Basic,2,44203,1,Theft,45687,0,1
CUST00383,54,Female,South,Basic,13,24729,11,Accident,22942,2,1
CUST00384,41,Male,South,Gold,11,33430,8,Accident,48417,0,0
CUST00385,46,Male,West,Premium,14,43584,5,Fire,62259,4,1
